Coculture_t24h_Donor1_IL-15-1ng-mL	Coculture_t24h_Donor1_IL-15-1nM	Coculture_t24h_Donor1_IL-15-Monalizumab	Coculture_t24h_Donor1_Mabkine	Coculture_t24h_Donor1_Monalizumab	Coculture_t24h_Donor2_IL-15-1ng-mL	Coculture_t24h_Donor2_IL-15-1nM	Coculture_t24h_Donor2_IL-15-Monalizumab	Coculture_t24h_Donor2_Mabkine	Coculture_t24h_Donor2_Monalizumab	Coculture_t24h_Donor3_IL-15-1ng-mL	Coculture_t24h_Donor3_IL-15-1nM	Coculture_t24h_Donor3_IL-15-Monalizumab	Coculture_t24h_Donor3_Mabkine	Coculture_t24h_Donor3_Monalizumab
LINC00085	16	0	1	4	1	0	0	2	1	7	5	2	1	1	2
LINC00086	0	0	11	0	2	2	0	0	2	1	1	0	3	0	3
LINC00087	1	1	0	1	1	4	1	0	0	0	2	2	0	2	1
LINC00092	40.7818	28.0395	65.533	67.4016	18.5599	31.0846	27.0937	35.1982	46.332	33.6751	56.9606	40.4946	71.031	49.4623	44.6186
LINC00094	617.733	165.734	197.305	478.079	110.713	204.467	174.98	172.794	281.32	247.021	170.133	196.115	139.158	261.262	241.184
LINC00102	35.7307	7.31467	6.99141	20.9755	4.66635	12.9144	5.19693	7.33784	12.6416	14.7855	13.8835	8.58348	7.04835	9.33833	17.248
LINC00111	0	0	0	0	0	0	0	0	2	0	2	0	1	0	0
LINC00112	2	0	0	0	0	0	0	0	2	0	1	0	0	0	1
LINC00113	63	19	22	30	22	13	21	6	11	34	25	10	10	23	49
LINC00114	76.89492	12.1105	33.31385	48.0711	34.69779	32.5111	22.17611	15.4311	30.82015	52.6634	44.82821	28.31442	18.79255	42.59694	58.91988
LINC00115	109.938	19	28.9293	56.8561	11	12	26.7233	12.6056	19.8621	9	23.9318	10	15	18.9122	32
LINC00116	451.874	317.297	589.885	830.59	142.167	142.155	356.108	512.135	500.901	170.011	135.268	277.212	317.414	410.083	203.055
LINC00152	2082.619	547.3692	1042.2701	1617.9989	663.1559	603.9229	685.8981	951.3666	988.7547	1065.8377	603.9443	872.3844	926.2131	1415.7739	1089.7069
LINC00158	3	0	8	3	6	4	3	1	0	1	0	0	1	2	6
LINC00159	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
LINC00160	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
LINC00161	7	3	4	1	2	5	7	2	1	5	5	2	3	2	10
LINC00162	0	0	0	0	0	1	2	0	0	0	0	2	0	0	0
LINC00163	0	2	1	2	1	0	0	1	0	1	6	4	1	1	2
LINC00167	75.4366	16.9243	40.6405	60.4948	29.4367	30.0054	27.6407	17.8003	34.2701	40.6498	23.3495	24.275	22.9475	40.7154	38.3094
LINC00173	6.34657	2.31778	2	2.15289	5.2336	4.20712	2.61806	0	0	2.06663	2.20974	0	1.26193	3	4.44489
LINC00174	176	31	28.0417	86	61	88	45	29.038	48	112	116	29	22	56	140
LINC00176	169.00036	58.00005	102.00002	79	55	48	44	69	99	89.99999	83	110	90.00002	148.9996	91.99999
LINC00184	21	5	0	4	0	1	2	0	0	2	4	0	1	8	3
LINC00189	15.4313	6.00708	10.59	8.30141	4.22092	10.527	6.32852	4.17097	5.13756	16.5669	8.55888	8.24313	3.11898	16.3474	10.7292
LINC00200	1	0	0	0	0	1	0	1	0	1	0	1	0	1	0
LINC00202-1	5	3	1	0	1	4	5	0	1	6	2	1	1	1	8.36452
LINC00202-2	63.3048	10.0683	12.0804	31.982	19.4072	16.8392	18.8654	10.3788	16.649	24.3707	16.4978	19.9536	13.107	24.0862	24.97
LINC00207	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0
LINC00208	0	2	1	0	0	0	1	0	0	0	3	0	0	0	1
LINC00210	2	1	1	1	3	2	0	0	0	1	1	1	2	2	0
LINC00221	156.112	22.0855	39.6648	38.1934	41.85	32.8956	24.6382	20.3077	24.1981	44.4876	44.3606	37.9323	27.4041	31.5262	52.7302
LINC00222	0	0	0	0	2	0	1	0	0	0	1	0	0	1	0
LINC00226	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0
LINC00229	0	0	0	1	0	0	1	3	0	0	1	0	0	2	1
LINC00235	6	0	2	10	2	3	4	12	0	1	1	0	1	1	2
LINC00238	5	2	4	0	1	3	0	4	3	2	0	0	0	1	5
LINC00239	1	0	0	0	0	2	1	0	0	0	2	0	0	0	4
LINC00240	8	0	3	5	3	1	2	1	5	7	3	2	0	1	0
LINC00242	2	0	0	2	0	0	1	2	0	0	1.05036	2.1273	6	3.24142	2
LINC00244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LINC00251	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0
LINC00254	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0
LINC00260	136.93	20.393	46.9624	55.7997	23.1248	27.2921	33.1022	28.4119	35.9445	55.7445	59.1117	34.7918	38.1483	47.2364	65.6879
LINC00261	13.2235	3.2978	7.77082	6.54878	6.42535	10.2386	14.534	16.441	11.4482	17.5913	9.03785	6.71431	3.0748	20.2082	23.3804
LINC00263	19.7325	16	13	10.4922	8	6.30535	17.165	11.2572	28.834	19.107	16.5883	18	13.3638	24.1372	26.1181
LINC00264	0	0	0	4	1	8	1.30874	2	1	5.02102	5	1	0	0	4
LINC00265	532.525	93.3772	146.565	225.805	172.896	184.149	148.123	162.16	236.706	238.176	190.301	146.591	119.722	183.916	276.915
LINC00266-1	5.69066	1.35097	2.39327	1.48507	4.31652	5.80156	6.80997	3.02107	5.99931	13.9804	8.0871	5.35981	1.9026	10.3437	6.90085
LINC00271	40	10	16	18	14	8	7	20	9	19	6	9	4	15	9
LINC00272	1	0	0	1	1	1	0	0	0	2	1	1	0	0	0
LINC00273	185	215	261	339	161	189	384	335	375	298.293	208.265	309.291	198	392	242
LINC00277	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0
LINC00278	11	0	3	2	7	5	5	0	0	10	7	3	3	0	3
LINC00282	21	5	11	13	4	17	8	4	10	12	13	6	13	10	12
LINC00284	0	0	0	0	2	0	0	0	0	0	0	1	2	0	0
LINC00290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LINC00293	2	0	0	4	1	3.999998	0	0	4	2.99999569671	0	2	3	1	1
LINC00294	407.449	117.989	177.992	235.368	122.869	114.123	126.227	129.092	126.96	146.985	140.046	138.361	93.5629	192.553	174.964
LINC00297	0	0	0	0	0	2	0	0	0	1	0	1	0	0	0
LINC00299	36	4	15	10	1	6	11	6	17	11	32	24	21	38	40
LINC00301	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0
LINC00303	1	0	0	0	0	2	1	1	1	0	1	1	1	0	2
LINC00304	1	0	1	1	0	0	2	1	0	3	3	2	1	2	4
LINC00305	2	1	0	2	0	0	0	1	0	0	0	1	0	0	0
LINC00307	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
LINC00308	12	0	4	3	1.17356	1	3	4	3	6	4	2	0	1	3
LINC00309	0	1	1	1	1	0	0	0	0	1	0	0	0	1	5
LINC00310	40.2863	6	21	26.4613	18	30	13	19	29	30.3989	27	15	19	19	41
LINC00311	89.2286	25.7972	38.0874	43.8621	31.0533	47.1838	20.8272	37.6397	32.9151	51.8999	29.1938	33.8851	29.3259	60.417	60.8677
LINC00312	6	0	4	0	1	1	0	0	1	9	1	1	3	1	1
LINC00313	3	1	0	2	1	2	0	0	0	0	1	0	0	0	0
LINC00314	16.3202	6	10	13	10	11.5362	11.6669	3	11.1088	14	10.2911	9	9.14938	17.1799	19.7596
LINC00317	0	0	0	0	2	2	1	0	0	1	0	0	0	0	2
LINC00319	3	1	2	3	3	1	3	0	1	0	2	1	3	5	4
LINC00320	6	2	3	2	5	4	1	0	4	8	7	2	2	2	8
LINC00323	3	1	0	0	1	1	0	1	0	1	1	0	0	3	1
LINC00324	259	53	76	62	67	87	66	78	93	100	91	51	49	90	107
LINC00326	19	6	0	1	1	0	0	1	0	0	1	1	0	0	4
LINC00327	41.5496	10.3954	13.1411	18.5922	7.61133	16.3534	9.81637	13.7222	10.6896	6.63917	15.8524	9.98476	21.3033	13.4975	13.7472
LINC00330	60.4166	20.6009	24.5835	30.0871	27.2542	29.3938	18.1966	21.6438	15.6757	38.4228	37.6782	23.6674	20.5272	26.2437	27.818
LINC00331	22.2741	4	3.1083	11.3978	10	8.59792	3.17586	3	3.06821	11.3059	4	4	5.13927	8	14.3337
LINC00332	0	1	0	1	1	0	0	0	1	0	2	0	0	1	2
LINC00333	9	1	0	1	1	4	2	1	6	2	0	2	1	1	1
LINC00336	56.933	13.4617	26	23.4883	9.23834	18.8899	25.2154	20.3392	24.554	18.2773	25.1731	20.4012	22.2982	23.3108	32.7897
LINC00338	294.794	154.796	142.643	184.391	90.4281	70.724	129.791	126.933	168.743	144.222	81.437	112.981	105.762	127.492	133.256
LINC00339	258.99998	38	59	92	38	66	40.99997	48	80.99997	78.99996	37.00002	34	38.99998	48.99997	57.99997
LINC00340	0	0	0	1	2	1	0	1	0	2	1	1	0	1	0
LINC00341	289.511	112.213	157.046	244.167	87.5627	89.7858	136.075	146.917	156.246	98.9731	62.7348	105.069	106.079	168.379	126.516
LINC00343	0	1	0	0	0	0	0	1	1	1	0	1	0	1	0
LINC00346	544.066	82.325	118.268	166.753	142.864	171.492	137.952	95.4918	86.0529	207.728	191.281	133.37	90.9432	103.281	192.197
LINC00347	0	1	0	0	1	0	0	0	0	0	1	1	0	1	3
LINC00348	53	11	24	23	14	24	19	7	17	26	22	22	9	13	22
LINC00351	24	5	5	5	4	6	4	1	4	5	10	7	2	5	7
LINC00353	6	1	2	2	2	0	0	0	1	2	0	1	1	3	4
LINC00359	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0
LINC00366	12	1	3	4	5	13	7	3	2	6	4	5	1	7	5
LINC00379	13.255	3.15787	6.08749	6	3	2	6.24541	3	3	7.2932	2	5	7	5	4.12649
LINC00381	116.11	27.967	50.7929	57.7833	54.7905	43.4167	54.3407	37.3959	35.3912	66.1727	64.7871	44.9034	17.0787	43.4339	71.9977
LINC00398	1	1	0	2	3	3	0	0	7	0	1	3	2	1	5
LINC00410	98.7441	22.7974	27.1114	43.0303	18.5193	44.7954	41.1978	27.2616	36.6663	50.2152	56.9834	35.994	34.5761	28.6636	40.0704
LINC00421	0	1	0	2	2	0	2	1	0	0	2	1	0	2	5
LINC00423	11	2	2	2	1	2	0	1	4	6	1	2	3	7	11
LINC00424	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0
LINC00426	224.714	12.3675	12.7521	11.6516	20	38	4.6401	11.3958	16.2819	38.1754	62.5363	20.8323	13.7086	22	117
LINC00433	1	0	0	0	0	0	0	0	0	1	0	0	0	1	2
LINC00439	143.339	23.6923	36.6098	47.7025	37.7369	47.5585	32.8767	26.7086	32.5692	71.1909	76.4414	25.7635	37.5143	49.7368	73.7725
LINC00441	5	2	4	2	5	5	9	1	4	5	2	2	5	2	7
LINC00442	0	0	0	3	0	0	0	0	0	5	0	1	0	0	0
LINC00443	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0
LINC00446	0	0	0	0	0	1	0	0	0	1	1	0	0	2	0
LINC00457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00460	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2
LINC00461	11	4	5	3	2	3	0	0	1	2	1	0	0	0	4
LINC00462	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
LINC00466	94.8802	15.9705	32.2075	64.8685	35.4474	44.5862	23.544	20.1008	40.2698	49.2276	42.1052	30.2066	34.939	44.385	55.9021
LINC00467	65	6	11	15	24	18	11	18	18	38	25	7	7	17	42
LINC00469	0	0	0	1	2	1	1	0	0	0	2	1	0	0	1
LINC00470	5.73661	2.20087	3.80913	10.2862	8.22296	5.05068	13.25505	3.88003	2.31928	8.08293	2.46061	7.881	2.25841	6.16418	11.4058
LINC00471	103.96	19.3036	25.9653	38.1309	21.6785	27.8151	26.5188	29.8006	34.9162	67.0858	51.9692	30.2341	24.7568	38.1606	56.0437
LINC00472	0	0	0	0	1	0	0	0	0	0	1	1	0	1	1
LINC00473	18.9541	3	7	5	3	4	2	0	3	12	6	3	4	16	9
LINC00474	6	0	0	4	0	2	0	1	1	4	1	0	0	0	0
LINC00475	4	0	2	3	1	0	2	0	2	2	1	1	0	10	1
LINC00476	434.0557	75.0904	182.8248	215.0922	123.9702	138.2733	115.1185	117.5781	188.0567	169.5986	183.1309	152.734	161.1546	214.7734	282.918
LINC00477	39.0255	6.38225	13.4074	14.3463	15.9532	16.9291	13.3625	5.34303	12.7664	16.6263	9.68753	13.7679	8.21547	12.999	9.71276
LINC00478	5	0	1	1	1	2	3	4	1	1	0	1	0	2	3
LINC00479	0	0	0	0	0	0	4	0	1	2	0	1	0	0	1
LINC00482	32.0436	9	16.0229	6.42558	4.02368	11.7748	6.00839	6.35609	11.0129	8.33692	5.03317	9.0282	8.5609	14.0402	15.0595
LINC00483	55.4679	11.0522	13.6081	26.2535	22.2393	36.6422	19.1284	10.579	21.8044	22.2389	29.0581	24.7987	20.7713	19.9923	29.5257
LINC00485	184.968	33.2607	69.2319	91.2474	35.4653	47.5925	29.3132	37.8681	39.0259	71.2119	42.7285	50.7897	37.6124	35.8248	97.3029
LINC00486	3	0	0	1	0	1	0	0	0	3	2	0	0	0	0
LINC00487	10	1	0	0	0	0	0	0	0	0	3	5	0	1	1
LINC00488	37.6423	9.08111	11.0324	13.0706	10.0772	11.0433	10.0676	8.02813	20.1052	22.0648	15.5763	13.1952	9.03412	14.0545	17.1563
LINC00489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00493	850	242	335	428	227	313	418	400	458	387	328	309	360	484	442
LINC00494	1	0	4	2	0	3	0	0	9	1	9	2	0	5	3
LINC00499	4	2	0	2	0	1	0	0	1	1	1	0	0	0	2
LINC00502	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0
LINC00507	314.946	61.4114	78.5745	90.8778	66.4143	87.6077	82.6127	68.3273	53.9642	94.9753	120.597	71.7577	75.0682	112.575	103.216
LINC00511	4	2	0	0	1	1	1	1	1	0	6	0	1	2	4
LINC00514	134.084	41.8577	44.7882	81.014	46.2725	51.0885	51.8404	61.9676	50.2775	70.6611	71.7719	37.9898	31.9293	59.8528	84.2051
LINC00515	1	10	1	12	0	3	5	7	2	2	0	5	2	6	3
LINC00516	63.9621	9.06501	11.45046	20.59716	21.8151	31.8873	18.88395	8.29437	11.96277	23.76666	26.0040000327887	13.09989	10.10199	16.4841	28.45851
LINC00518	37.1005	2.63061	2.43028	7.76426	4.57319	4.84098	9.86424	3.3785	2.16204	7.56259	3.36445	7.83322	5.23687	2.20408	7.91026
LINC00520	14	3	4	0	1	2	6	2	3	6	6	3	4	2	6
LINC00521	28.004	7.00363	11.008	11.0055	5	9.00577	4.00492	11	9.13006	9.01576	11.0081	7	6	4	13.0119
LINC00523	3	0	2	4	3	3	6	0	0	0	1	3	0	1	0
LINC00525	7	0	0	0	0	1	2	0	0	1	1	1	0	2	0
LINC00526	80	19	45	68	16	17	13	23	13	15	16	27	5	12	20
LINC00534	13.0185	0	8.14085	4.11846	2	9.08121	5.39956	5.89156	4	6.28471	5	2.17292	1.15341	4	3.13728
LINC00535	39.685	10.2354	12.3523	32.9394	11.4222	0	2	6.0847	4	5.23415	15.1558	22.7797	10.1812	21.1944	13.5255
LINC00536	14.109	2.05691	7.30041	5.25904	2.0475	3.18006	6.26209	8.31356	4.0705	11.4378	5.30874	4.21346	1.01886	1.02401	6.41933
LINC00538	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1
LINC00544	1	2	0	1	1	0	0	0	0	0	2	0	0	0	3
LINC00547	698.361	134.899	186.297	248.492	202.228	276.108	196.99	86.8429	176.465	321.247	273.499	180.541	165.16	191.936	334.782
LINC00548	2	0	1	2	0	0	0	0	0	1	0	0	0	1	1
LINC00550	141	18	31	54	55	44	22	15	36	63	37	25	22	23	65
LINC00551	0	0	0	0	0	0	0	0	0	1	0	0	0	1	3
LINC00552	3	1	3	0	1	0	0	0	1	0	0	0	0	0	1
LINC00558	8	5	2	5	2	4	5	1	4	4	3	1	0	2	6
LINC00559	23.4054	4.04123	13.1293	13.0976	15.1629	8.19782	4.11923	5.2213	11.174	7.01979	15.2561	7.01868	4.00725	10.1288	16.2653
LINC00563	0	0	0	0	1	2	0	0	0	0	7	0	0	0	0
LINC00565	4	0	0	4	0	2	2	1	1	1	3	1	1	0	4
LINC00568	69.5788	7.54156	22.3071	19.5337	20.7092	44.1056	15.6027	26.0322	20.3249	55.3426	30.8177	11.5469	10.8907	26.4569	34.0127
LINC00570	2	1	0	2	2	0	0	0	2	1	1	3	1	0	2
LINC00571	5	1	0	0	4	1.16331	2	0	1	1.27562	3	6.26731	0	2	3
LINC00574	61.1033	20.6267	19.7482	29.6146	16.5709	22.8252	13.629	11.1401	23.3657	31.7885	21.0872	15.5237	17.0336	25.1335	35.7879
LINC00575	5	3	0	3	6	2	5	2	1	3	7	6	1	5	4
LINC00577	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
LINC00578	90.6292	12.4003	19.1181	32.2109	21.0604	37.7558	28.3338	18.6973	36.2938	30.3102	28.9655	27.9623	19.5831	35.9126	43.6836
LINC00582	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0
LINC00583	0	0	1	1	0	0	0	0	0	0	0	1	0	1	1
LINC00588	0	0	0	1	0	1	0	0	0	1	1	1	0	1	1
LINC00589	0	0	1	0	0	2	0	0	0	0	0	1	0	0	1
LINC00592	0	0	0	0	0	0	1	0	2	1	0	0	0	1	0
LINC00593	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
LINC00595	0	0	0	0	0	0	2	1	0	1	0	0	3	0	0
LINC00597	2	2	2	6	2	5	5	3	4	8	7	1	6	3	15
LINC00598	137.357	26.06224	39.176	57.33233	39.84573	48.74409	39.5965	42.5428	48.96987	52.87606	36.5045	37.54765	27.7147	49.66941	64.2375
LINC00599	730	104	197	371	121	318	335	208	371	435	518	373	320	609	676
LINC00601	2	1	0	3	3	4	0	1	4	3	0	2	2	2	2
LINC00602	1.04594	0	0	0	0	1	0	0	0	0	0	0	0	0	0
LINC00605	18.2681	15.0645	8.63855	20.5767	4.13892	7.54295	7.19629	8.06052	8.05742	7.2045	10.775	10.4452	8.02883	6.11494	14.5558
LINC00606	1	1	0	1	1	0	0	0	0	0	0	1	0	0	0
LINC00607	14	5	14	3	11	8	13	8	18	13	13	11	4	5	12
LINC00608	0	0	0	7	2	0	0	0	0	0	3	0	1	0	0
LINC00609	6	0	0	0	0	0	1	1	0	0	0	0	0	0	0
LINC00612	1	0	1	0	0	2	2	1	10	1	5	5	2	0	1
LINC00615	2	0	7	2	1	5	5	0	3	2	0	1	0	2	4
LINC00616	7	0	1	2	1	0	0	0	0	1	1	0	0	1	2
LINC00617	36	8	11	20	12	17	14	9	11	17	24	9	11	17	23
LINC00619	16	0	0	0	1	1	0	0	0	0	0	1	0	0	0
LINC00620	55.1135	5.03827	15.1263	20.0677	9.04869	16.1252	17.224	15.1823	15.074	31.5542	30.197	19.531	14.0784	20.3027	19.0896
LINC00622	5	0	0	2	5	2	1	2	1	0	1	1	0	1	3
LINC00623	1920.67	215.49322	454.2552	657.447	309.018	434.544	301.165	374.25	398.776	560.465	1042.63	546.631	659.389	931.429	1608.16
LINC00624	37	3	10	4	5.00263	8	9	3	2	7	7	12	5	7	10.0037
LINC00626	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1
LINC00628	0	0	1	1	0	0	2	0	0	2	1	1	1	0	1
LINC00629	72.8793	7	15.6143	29.7905	21.1609	16.4994	9.67389	6.16926	11.6739	27.7812	19.2165	9.40283	7.26904	18.1842	41.3189
LINC00630	60	9	18	26	15	21	22	7	20	23	16	22	6	29	18
LINC00633	2	0	0	0	0	0	2	0	0	1	0	0	0	0	0
LINC00634	3	4	2	6	0	2	2	0	2	4	1	1	0	0	0
LINC00635	2.999999	0	0	0	0	1	0	0	0	0	1	0	0	1	0
LINC00636	1	0	0	0	4	1	0	0	0	1	0	0	1	3	0
LINC00637	39.5335	6.56088	16.8305	12.0824	16.2863	18.7544	7.51411	4.88998	13.5109	14.5319	12.2329	13.0362	5.4251	17.9953	22.2372
LINC00638	70.5482	14.6305	30.5435	33.5813	23.9772	26.2998	17.9556	24.8671	26.1373	35.3226	16.7788	27.7664	29.1765	35.8721	35.7917
LINC00639	3	2	2	1	13	2	4	2	3	4	2	3	2	5	6
LINC00640	5	0	1	0	0	1	1	0	0	0	0	0	1	1	0
LINC00641	216.3646	41.9111	69.4728	86.7712	67.5703	62.8071	57.1925	51.3232	61.15567	79.0989	91.14085	49.55186	58.6434	93.43239	97.07159
LINC00642	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0
LINC00643	67.2429	10.3998	38.277	52.7118	26.4677	18.6433	10.3374	18.4393	18.761	29.1196	34.8989	15.4037	9.19728	25.4926	34.3728
LINC00645	5	0	1	0	0	0	0	0	1	1	2	0	0	1	1
LINC00648	72.257	15.2419	12.1871	19.7803	16.1672	21.1821	17.7556	13.023	13.2506	16.2063	21.2755	14.3755	9.1698	10.1243	16.2062
LINC00649	672.473	242.792	283.876	399.917	363.015	395.235	313.505	204.38	216.257	484.392	500.587	430.163	292.77	357.936	530.572
LINC00651	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0
LINC00652	236.1761	23.6047	43.2465	65.5489	56.71099466	86.2089	41.3119	32.5558	52.54919	91.0176	86.7513	57.8418	54.5771	47.9862	101.59452
LINC00654	10.0197	0	8.14475	0	2	2	0	0	0	8	5	3.01272	1	14.155	6
LINC00656	0	0	0	1	0	0	1	0	0	4	2	0	1	0	3
LINC00657	722.105	177.848	232.222	364.371	169.346	244.83	305.585	203.503	335.13	263.507	268.102	202.756	207.087	334.327	431.246
LINC00658	0	0	0	0	0	0	1.000000187751	0	0	0	0	1.0000000897896	0	1.0000000597443	0
LINC00659	0	1	5	0	1	3	3	1	0	4	8	1	1	6	4
LINC00661	3	1	1	1	3	1	0	2	0	7	4	2	1	7	4
LINC00662	98.1132	30.3915	53.5432	71.638	26.5629	22.9377	42.3897	39.1985	66.0598	33.6716	25.0813	38.5252	41.1559	51.8654	51.1971
LINC00663	274.538	68.4692	105.758	141.871	101.641	112.899	105.304	63.0227	85.4524	132.126	128.856	123.119	87.057	91.5074	174.903
LINC00665	174.839	45.6794	67.136	98.3165	51.6121	69.72728	88.82192	63.79311	74.05014	85.3175	72.444	56.1266	66.73038	76.6623	79.1086
LINC00667	882.253	183.749	184.881	316.588	131.87	155.056	194.527	162.633	291.984	200.157	170.142	134.796	218.791	221.426	282
LINC00668	64.1598	14.7538	23.1964	33.7097	29.1138	28.5079	32.238	18.5933	31.9918	31.6517	28.8922	26.6604	17.0461	33.3879	35.8548
LINC00669	0	1	0	3	0	0	0	1	2	2	3	0	1	0	0
LINC00670	1105.65	157.311	250.026	425.803	326.183	321.242	199.524	143.923	208.275	486.678	320.622	203.281	177.382	255.8176	475.236
LINC00671	90.1893	33.6539	22.2426	40.9299	14.0311	34.2286	23.7788	18.8101	30.7177	34.8484	47.8789	25.3839	15.1209	38.5094	59.1797
LINC00672	268.96	39.2753	69.005	71.3114	72.6221	74.8094	91.7099	81.407	66.7563	115.264	86.7786	54.2398	51.5498	80.1074	95.3798
LINC00673	52.0648	10.6292	12.8758	22.6377	12.9655	16.7473	9.65548	17.6888	15.7828	24.4844	18.5413	15.1164	6.22799	17.0453	24.2464
LINC00674	2350.33	379.928	419.37	619.418	475.85	823.997	570.949	473.272	651.528	976.42	835.06	673.825	643.965	742.078	1214.87
LINC00675	2	1	0	0	1	1	0	0	0	0	0	1	1	0	0
LINC00684	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0
LINC00685	298.022	73.5814	123.706	175.4244	102.7482	111.0916	74.526	75.219	113.4208	136.7172	171.322	95.295	100.3938	129.9832	244.834
LINC00689	26.4293	2.01266	5.01325	16.3661	5.02342	7.15859	6.05388	7.04929	10.0166	10.0768	9.17293	12.0694	5.09563	9.12106	10.2128
LINC00691	94.0529	12.8273	21.5794	19.9644	28.479	28.5753	31.3191	17.3626	21.5917	33.534	32.7154	35.9776	20.9521	19.9629	64.327
LINC00692	35.5308	6.94451	3.85426	3.06795	4.55937	10.6481	6.38947	4.16631	5.73596	12.8025	7.47486	8.7648	4.21516	7.59397	8.84883
LINC00693	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1
LINC00696	65.3855	15.9683	24.4434	28.7714	12.8796	33.8165	18.0793	22.0429	27.474	29.0764	22.4865	23.509	14.4018	20.9993	36.243
LINC00698	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
LINC00700	7.35007	1.05974	10.2369	6.05194	7.21054	4.67054	3.56374	4.35498	9.27634	6.19155	2.66369	3.0935	6.09034	5.99928	8.54133
LINC00701	5.17427	0	5	3	0	4.00455	6	4	4	8	4.17531	7	0	2	1.00077
LINC00704	27	9	15	19	9	7	11	11	10	15	4	7	5	10	11
LINC00705	0	3	0	0	2	0	0	0	0	0	1	0	0	0	1
LINC00707	66	9	10	21	20	20	14	14	7	28	42	12	12	22	36
LINC00710	18	0	1	0	0	1	0	0	1	0	0	4	0	2	0
LINC00837	10.0338	1	3	7.00104	5	1	2	0	4	5.00077	6.00062	6.00092	4.00052	3.00027	3.00028
LINC00838	59	7	8	27	9	27	17	6	12	18	21	18	5	20	25
LINC00839	31.303	8.13491	13.2698	5.07232	10.0319	15.2327	4.05816	7.04889	8	10.0557	9.38628	8.06313	4.04636	10.1345	13.0407
LINC00840	16	4	2	10	5	1	4	5	4	8	2	1	0	5	12
LINC00841	0	2	1	0	2	0	0	0	0	0	0	2	0	0	0
LINC00842	14	5	7	5	6	10	5	5	6	14	8	3	4	5	13
LINC00847	264.4808	18.41515	52.8462	45.57596	48.51933	56.3937330022	53.9512	50.8489	95.5631	107.6292	92.2797	22.5873	33.37948	52.9396	97.93491
LINC00851	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0
LINC00852	42	12	10	26	9	18	20	27	23	43	18	25	22	48	50
LINC00853	0	0	0	1	2	0	1	0	1	0	0	0	0	0	2
LINC00854	24	7	31	27	15	12	15	11	17	12	17	8	16	19	24
LINC00856	6	3	1	1	6	0	2	3	3	3	5	4	1	5	6
LINC00857	28.7452	4.09873	13	13	9.13985	8	7	6.20183	1	10.1768	14	5.07075	10	6.16423	8.08144
LINC00858	2.11377	0	0	1.04578	0	3.13377	0	4.20933	2.09546	0	2.05896	3.07844	0	0	1.04535
LINGO1	2	0	0	2	1	1	2	0	0	4	0	2	1	0	3
LINGO2	29	0	0	4	2	1	3	0	1	1	30.00004	9	5	17	19.00003
LINGO3	1	0	1	5	4	16	5	3	3	3	23	6	5	13	7
LINGO4	0	0	0	0	3	0	2	2	0	4	0	1	1	2	5
LINS	260	77	54	128	21	52	92	60	133	76	45	65	87	112	66
LIPA	267.0003	106	88	120	84	112	202.9996	158.0002	152.0001	128	98	143	134	148	157.0004
LIPC	3	0	0	97	0	10	0	16	32	30	17	21	11	56	28
LIPE	112	26	50	74	49	70	54	41	31	44	26	37	25	74	63
LIPF	1	0	2	1	0	0	2	1	1	1	3	0	0	0	1
LIPG	37.069	8.32375	9.50308	15.9775	11.66	14.3862	9.69822	4	7	8.61782	11.4102	5	5.33213	20.2595	27.9463
LIPH	12	0	1	0	0	2	0	0	0	0	0	0	1	2	2
LIPI	1	2	1	1	0	1	1	0	0	0	1	2	0	0	1
LIPJ	8	0	0	3	2	1	1	2	0	0	0	1	0	0	3
LIPK	4	1	0	1	1	0	0	0	0	2	2	0	0	1	0
